category2,aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
Moisturizers,fragrance,8256.0,15023.0,44221.0,67500.0,0.6551259259259259,0.1223111111111111,5.924846229291263
Moisturizers,irritation,2963.0,2775.0,16273.0,22011.0,0.7393121621007678,0.134614510926355,6.04657924847445
Moisturizers,packaging,3787.0,7024.0,24822.0,35633.0,0.6966014649341902,0.1062778884741672,6.187214178015484
Moisturizers,finish,1393.0,3061.0,15199.0,19653.0,0.7733679336488068,0.07087976390372971,6.94482344731503
Moisturizers,hydration,4549.0,10188.0,46820.0,61557.0,0.7605958704940137,0.07389898792988613,7.572711314086271
Moisturizers,effectiveness,1976.0,4629.0,27194.0,33799.0,0.804580017160271,0.05846326814402793,7.780666680746131
Self Tanners,packaging,590.0,425.0,695.0,1710.0,0.4064327485380117,0.34502923976608185,0.4571388852389945
Self Tanners,sillage,0.0,0.0,1.0,1.0,1.0,0.0,0.6931471805599453
Self Tanners,price,240.0,136.0,491.0,867.0,0.566320645905421,0.2768166089965398,1.958839815893596
Self Tanners,ingredients,141.0,87.0,342.0,570.0,0.6,0.24736842105263157,2.238289879194488
Self Tanners,longevity,13.0,26.0,64.0,103.0,0.6213592233009708,0.1262135922330097,2.29964986268165
Self Tanners,irritation,20.0,36.0,110.0,166.0,0.6626506024096386,0.12048192771084337,2.7748159223946267
Self Tanners,hydration,50.0,78.0,335.0,463.0,0.7235421166306696,0.1079913606911447,3.779410577504283
Self Tanners,fragrance,643.0,860.0,2490.0,3993.0,0.6235912847483095,0.16103180565990483,3.8357969209399516
Self Tanners,texture,251.0,378.0,1419.0,2048.0,0.69287109375,0.12255859375,4.348693920479998
Self Tanners,finish,15.0,37.0,266.0,318.0,0.8364779874213837,0.04716981132075472,4.550512474210679
Shop by Concern,fragrance,1.0,11.0,3.0,15.0,0.2,0.06666666666666667,0.3696784962986376
Shop by Concern,packaging,0.0,0.0,1.0,1.0,1.0,0.0,0.6931471805599453
Shop by Concern,finish,0.0,0.0,2.0,2.0,1.0,0.0,1.0986122886681098
Shop by Concern,application,0.0,0.0,2.0,2.0,1.0,0.0,1.0986122886681098
Shop by Concern,texture,0.0,1.0,4.0,5.0,0.8,0.0,1.433407575382444
Shop by Concern,effectiveness,0.0,0.0,4.0,4.0,1.0,0.0,1.6094379124341003
Sunscreen,sillage,1.0,1.0,7.0,9.0,0.7777777777777778,0.1111111111111111,1.5350567286626975
Sunscreen,packaging,957.0,1149.0,2775.0,4881.0,0.5685310387215734,0.19606637984019668,3.163457905394874
Sunscreen,ingredients,1002.0,779.0,2713.0,4494.0,0.6036938139741878,0.22296395193591456,3.20221262575783
Sunscreen,irritation,353.0,261.0,1103.0,1717.0,0.6423995340710542,0.20559114735002912,3.253749025572598
Sunscreen,price,681.0,680.0,2146.0,3507.0,0.6119190191046479,0.1941830624465355,3.4098956324111453
Sunscreen,longevity,11.0,30.0,128.0,169.0,0.757396449704142,0.0650887573964497,3.5555527641117197
Sunscreen,fragrance,893.0,1816.0,5777.0,8486.0,0.6807683242988452,0.10523214706575536,5.206467659685588
Sunscreen,finish,588.0,1163.0,4998.0,6749.0,0.7405541561712846,0.0871240183730923,5.761488105919632
Sunscreen,hydration,211.0,486.0,2585.0,3282.0,0.787629494210847,0.06429006703229738,5.856527015889331
Sunscreen,effectiveness,223.0,468.0,3131.0,3822.0,0.8192046049188907,0.058346415489272635,6.276159982624064
Treatments,sillage,15.0,6.0,45.0,66.0,0.6818181818181818,0.22727272727272727,1.9112239179049841
